terminal_level,known_density,fitted_density
2.018301746964338690e+03,1.578787679700464817e-16,0.000000000000000000e+00
2.018878916681716873e+03,1.603166850045500907e-16,0.000000000000000000e+00
2.019456086399095057e+03,1.627908694085893471e-16,0.000000000000000000e+00
2.020033256116473240e+03,1.653018396763197782e-16,0.000000000000000000e+00
2.020610425833851423e+03,1.678501214050795363e-16,0.000000000000000000e+00
2.021187595551229606e+03,1.704362473883354814e-16,0.000000000000000000e+00
2.021764765268607789e+03,1.730607577097620911e-16,0.000000000000000000e+00
2.022341934985985745e+03,1.757241998385094805e-16,0.000000000000000000e+00
2.022919104703363928e+03,1.784271287256445078e-16,0.000000000000000000e+00
2.023496274420742111e+03,1.811701069017789178e-16,0.000000000000000000e+00
2.024073444138120294e+03,1.839537045759414945e-16,0.000000000000000000e+00
2.024650613855498477e+03,1.867784997356428734e-16,0.000000000000000000e+00
2.025227783572876660e+03,1.896450782481985117e-16,0.000000000000000000e+00
2.025804953290254844e+03,1.925540339632915770e-16,0.000000000000000000e+00
2.026382123007633027e+03,1.955059688168410787e-16,0.000000000000000000e+00
2.026959292725011210e+03,1.985014929361075259e-16,0.000000000000000000e+00
2.027536462442389166e+03,2.015412247461252518e-16,0.000000000000000000e+00
2.028113632159767349e+03,2.046257910774481672e-16,0.000000000000000000e+00
2.028690801877145532e+03,2.077558272752204792e-16,0.000000000000000000e+00
2.029267971594523715e+03,2.109319773095921225e-16,0.000000000000000000e+00
2.029845141311901898e+03,2.141548938875003002e-16,0.000000000000000000e+00
2.030422311029280081e+03,2.174252385658287705e-16,0.000000000000000000e+00
2.030999480746658264e+03,2.207436818659523238e-16,0.000000000000000000e+00
2.031576650464036447e+03,2.241109033896941832e-16,0.000000000000000000e+00
2.032153820181414630e+03,2.275275919367148675e-16,0.000000000000000000e+00
2.032730989898792814e+03,2.309944456233494276e-16,0.000000000000000000e+00
2.033308159616170997e+03,2.345121720028675901e-16,0.000000000000000000e+00
2.033885329333549180e+03,2.380814881872674966e-16,0.000000000000000000e+00
2.034462499050927136e+03,2.417031209705042571e-16,0.000000000000000000e+00
2.035039668768305319e+03,2.453778069532874496e-16,0.000000000000000000e+00
2.035616838485683502e+03,2.491062926693443228e-16,0.000000000000000000e+00
2.036194008203061685e+03,2.528893347132792593e-16,0.000000000000000000e+00
2.036771177920439868e+03,2.567276998699778280e-16,0.000000000000000000e+00
2.037348347637818051e+03,2.606221652455840724e-16,0.000000000000000000e+00
2.037925517355196234e+03,2.645735184000981672e-16,0.000000000000000000e+00
2.038502687072574417e+03,2.685825574815751684e-16,0.000000000000000000e+00
2.039079856789952601e+03,2.726500913619592677e-16,0.000000000000000000e+00
2.039657026507330784e+03,2.767769397746031534e-16,0.000000000000000000e+00
2.040234196224708739e+03,2.809639334534216444e-16,0.000000000000000000e+00
2.040811365942086923e+03,2.852119142737753451e-16,0.000000000000000000e+00
2.041388535659465106e+03,2.895217353950396526e-16,0.000000000000000000e+00
2.041965705376843289e+03,2.938942614049289793e-16,0.000000000000000000e+00
2.042542875094221472e+03,2.983303684655664294e-16,0.000000000000000000e+00
2.043120044811599655e+03,3.028309444613146555e-16,0.000000000000000000e+00
2.043697214528977838e+03,3.073968891484321898e-16,0.000000000000000000e+00
2.044274384246356021e+03,3.120291143065167914e-16,0.000000000000000000e+00
2.044851553963734204e+03,3.167285438917885153e-16,0.000000000000000000e+00
