case_id,benchmark,coverage,repetition,method,forward_shift,penalty,validation_rmse,mean_full_density_l1,tail_error_pp,tail_absolute_error_pp
lognormal_extended_r14_f+50,lognormal,extended,14,forward,0.005,1e-06,14.314581528580673,0.1627849206943727,-0.01648011649659016,0.01648011649659016
lognormal_extended_r14_f-10,lognormal,extended,14,forward,-0.001,1e-06,0.47595692191625155,0.04192336962424491,-0.017016394793573107,0.017016394793573107
lognormal_extended_r14_f-50,lognormal,extended,14,forward,-0.005,1e-06,2.9198449184071102,0.08351251481006958,-0.01620919124848434,0.01620919124848434
lognormal_extended_r15_f+10,lognormal,extended,15,forward,0.001,1e-06,2.496530960333474,0.05654130753171076,0.03313879685443791,0.03313879685443791
lognormal_extended_r15_f+50,lognormal,extended,15,forward,0.005,1e-06,14.31464559570568,0.16436401667939704,0.03285735389633524,0.03285735389633524
lognormal_extended_r15_f-10,lognormal,extended,15,forward,-0.001,1e-06,0.4788233213197341,0.04231742711511527,0.032795756559177026,0.032795756559177026
lognormal_extended_r15_f-50,lognormal,extended,15,forward,-0.005,1e-06,2.919886967183222,0.08411107826635209,0.03278819098819839,0.03278819098819839
lognormal_extended_r16_f+10,lognormal,extended,16,forward,0.001,1e-06,2.49602455676853,0.05516208225824799,0.041374351185306975,0.041374351185306975
lognormal_extended_r16_f+50,lognormal,extended,16,forward,0.005,1e-06,14.31483631974929,0.16354780736044025,0.04083273378265775,0.04083273378265775
lognormal_extended_r16_f-10,lognormal,extended,16,forward,-0.001,1e-06,0.4754504809010509,0.04143607600210626,0.04126682755495091,0.04126682755495091
lognormal_extended_r16_f-50,lognormal,extended,16,forward,-0.005,1e-06,2.920081403490906,0.08209651677539823,0.04081042025578881,0.04081042025578881
lognormal_extended_r17_f+10,lognormal,extended,17,forward,0.001,1e-06,2.4969272942019503,0.05565446194971126,0.05314032878657006,0.05314032878657006
lognormal_extended_r17_f+50,lognormal,extended,17,forward,0.005,1e-06,14.314625502346642,0.16437037705068186,0.05490960732170546,0.05490960732170546
lognormal_extended_r17_f-10,lognormal,extended,17,forward,-0.001,1e-06,0.4776853037421234,0.0417550995217782,0.05427778351709072,0.05427778351709072
lognormal_extended_r17_f-50,lognormal,extended,17,forward,-0.005,1e-06,2.9206498556949874,0.08336024079648605,0.05388311545328024,0.05388311545328024
lognormal_extended_r18_f+10,lognormal,extended,18,forward,0.001,1e-06,2.496644472149046,0.05565189294011569,0.011620292439414731,0.011620292439414731
