horizon_days,left_edge,right_edge,legacy_mass,control_mass,joint_mass
1.200000000000000000e+02,2.293775684786435249e+03,2.389559724370924414e+03,2.015510619151866920e-18,-7.665595787689839125e-13,2.105258102953537610e-13
1.200000000000000000e+02,2.389559724370924414e+03,2.485343763955412669e+03,4.082893723660023086e-19,-9.419502015898206945e-13,3.174297057700815858e-13
1.200000000000000000e+02,2.485343763955412669e+03,2.581127803539900924e+03,1.639186902354064625e-18,-1.058962102303284783e-12,2.545318410951467149e-14
1.200000000000000000e+02,2.581127803539900924e+03,2.676911843124389634e+03,6.845233378022571657e-19,-9.822365331359337091e-13,-1.476611119145167105e-13
1.200000000000000000e+02,2.676911843124389634e+03,2.772695882708878344e+03,0.000000000000000000e+00,-4.894585262289323742e-13,-3.068975516872363879e-13
1.200000000000000000e+02,2.772695882708878344e+03,2.868479922293366599e+03,2.972155800180378277e-19,-7.601172416988608193e-14,-4.188111834710082023e-13
1.200000000000000000e+02,2.868479922293366599e+03,2.964263961877855309e+03,9.084485690363424963e-20,-1.799906924903987771e-13,9.019620667054964020e-13
1.200000000000000000e+02,2.964263961877855309e+03,3.060048001462344018e+03,2.634526146460573312e-19,-5.749725616718935426e-13,-4.232940683004057618e-13
1.200000000000000000e+02,3.060048001462344018e+03,3.155832041046832728e+03,0.000000000000000000e+00,9.167000973450604050e-13,2.575706837634240048e-07
1.200000000000000000e+02,3.155832041046832728e+03,3.251616080631320528e+03,0.000000000000000000e+00,-3.228472883468771157e-12,2.434340685678303124e-13
1.200000000000000000e+02,3.251616080631320528e+03,3.347400120215809238e+03,1.275757255232047196e-06,1.277374319907844784e-06,-4.435811243972902829e-13
1.200000000000000000e+02,3.347400120215809238e+03,3.443184159800297493e+03,1.180848401266054903e-05,1.179491353363859190e-05,7.491997931307920006e-06
1.200000000000000000e+02,3.443184159800297493e+03,3.538968199384786203e+03,3.189225042178449738e-05,3.188182813924463408e-05,2.985243720545624753e-05
1.200000000000000000e+02,3.538968199384786203e+03,3.634752238969274913e+03,5.760923465053061098e-05,5.759982774580692390e-05,6.188801786141872533e-05
1.200000000000000000e+02,3.634752238969274913e+03,3.730536278553763623e+03,8.410784909606509180e-05,8.410808790631951379e-05,9.359362572042364571e-05
1.200000000000000000e+02,3.730536278553763623e+03,3.826320318138252333e+03,1.090103880437127916e-04,1.090268882314085729e-04,1.179104678916522358e-04
1.200000000000000000e+02,3.826320318138252333e+03,3.922104357722741042e+03,1.357734345592939609e-04,1.358003543767261458e-04,1.384843699582032571e-04
1.200000000000000000e+02,3.922104357722741042e+03,4.017888397307228843e+03,1.770442490303503040e-04,1.770591938322167702e-04,1.731589053120425334e-04
1.200000000000000000e+02,4.017888397307228843e+03,4.113672436891716643e+03,2.579787083648961616e-04,2.579843334569680404e-04,2.499328629892659504e-04
1.200000000000000000e+02,4.113672436891716643e+03,4.209456476476205353e+03,4.196716129006591942e-04,4.196719482574795242e-04,4.108424022931048830e-04
1.200000000000000000e+02,4.209456476476205353e+03,4.305240516060694063e+03,7.225075580776696340e-04,7.224997405630577451e-04,7.158426853478354031e-04
1.200000000000000000e+02,4.305240516060694063e+03,4.401024555645182772e+03,1.249506531464369746e-03,1.249493816127034401e-03,1.246689870508743692e-03
1.200000000000000000e+02,4.401024555645182772e+03,4.496808595229671482e+03,2.109707643727663784e-03,2.109695352442221648e-03,2.110823173113188234e-03
1.200000000000000000e+02,4.496808595229671482e+03,4.592592634814160192e+03,3.441533480998089541e-03,3.441526470615645719e-03,3.445246933165492260e-03
1.200000000000000000e+02,4.592592634814160192e+03,4.688376674398648902e+03,5.416156472439028965e-03,5.416155163438403190e-03,5.420412750070828685e-03
1.200000000000000000e+02,4.688376674398648902e+03,4.784160713983137612e+03,8.196172773522993754e-03,8.196173010418441457e-03,8.199303744247784728e-03
1.200000000000000000e+02,4.784160713983137612e+03,4.879944753567625412e+03,1.168351435233787317e-02,1.168351620557991910e-02,1.168490534063599574e-02
1.200000000000000000e+02,4.879944753567625412e+03,4.975728793152114122e+03,1.563468742913337942e-02,1.563469210559077435e-02,1.563466797330506988e-02
1.200000000000000000e+02,4.975728793152114122e+03,5.071512832736602832e+03,1.991350774186841088e-02,1.991350818117204602e-02,1.991282004706269870e-02
1.200000000000000000e+02,5.071512832736602832e+03,5.167296872321091541e+03,2.443939552052407441e-02,2.443939840512821676e-02,2.443871233678353641e-02
1.200000000000000000e+02,5.167296872321091541e+03,5.263080911905580251e+03,2.925384647916114481e-02,2.925384370007789309e-02,2.925349265010037531e-02
1.200000000000000000e+02,5.263080911905580251e+03,5.358864951490068961e+03,3.446341641837993158e-02,3.446341729493404560e-02,3.446341191975361984e-02
1.200000000000000000e+02,5.358864951490068961e+03,5.454648991074556761e+03,3.993570652844408847e-02,3.993570788527970455e-02,3.993588678326721181e-02
1.200000000000000000e+02,5.454648991074556761e+03,5.550433030659045471e+03,4.519853669507425259e-02,4.519853852249163667e-02,4.519872641584089801e-02
1.200000000000000000e+02,5.550433030659045471e+03,5.646217070243534181e+03,4.966504039565557138e-02,4.966503863669825131e-02,4.966513751936366822e-02
1.200000000000000000e+02,5.646217070243534181e+03,5.742001109828022891e+03,5.293011936332429196e-02,5.293012036398510312e-02,5.293012330920213171e-02
1.200000000000000000e+02,5.742001109828022891e+03,5.837785149412511601e+03,5.489739245448439775e-02,5.489739136075649090e-02,5.489734751609548491e-02
1.200000000000000000e+02,5.837785149412511601e+03,5.933569188997000310e+03,5.569588362305234741e-02,5.569588333871259428e-02,5.569585006885457990e-02
1.200000000000000000e+02,5.933569188997000310e+03,6.029353228581489020e+03,5.555787018421778217e-02,5.555787017805900035e-02,5.555787718390332863e-02
1.200000000000000000e+02,6.029353228581489020e+03,6.125137268165975911e+03,5.454095897942615873e-02,5.454095869284045911e-02,5.454099414336138069e-02
1.200000000000000000e+02,6.125137268165975911e+03,6.220921307750464621e+03,5.255266590523989534e-02,5.255266296384562136e-02,5.255268201980432125e-02
1.200000000000000000e+02,6.220921307750464621e+03,6.316705347334953331e+03,4.961386643796285301e-02,4.961386399364051819e-02,4.961381614573946025e-02
1.200000000000000000e+02,6.316705347334953331e+03,6.412489386919442040e+03,4.592402249117977925e-02,4.592402409581422540e-02,4.592389200380326414e-02
1.200000000000000000e+02,6.412489386919442040e+03,6.508273426503930750e+03,4.187012414153400142e-02,4.187012590503204346e-02,4.186996090928905845e-02
1.200000000000000000e+02,6.508273426503930750e+03,6.604057466088419460e+03,3.783037380979872161e-02,3.783037724081750319e-02,3.783030624655054491e-02
1.200000000000000000e+02,6.604057466088419460e+03,6.699841505672908170e+03,3.388065215014118836e-02,3.388065248799714685e-02,3.388082841558232722e-02
1.200000000000000000e+02,6.699841505672908170e+03,6.795625545257395970e+03,2.995501742486204530e-02,2.995501432331262523e-02,2.995550300521485076e-02
1.200000000000000000e+02,6.795625545257395970e+03,6.891409584841884680e+03,2.603814832654126679e-02,2.603814948960793407e-02,2.603879528129240950e-02
1.200000000000000000e+02,6.891409584841884680e+03,6.987193624426373390e+03,2.220391511856657785e-02,2.220391653816197394e-02,2.220428679771074484e-02
1.200000000000000000e+02,6.987193624426373390e+03,7.082977664010862100e+03,1.859067840170419705e-02,1.859067754261740230e-02,1.859020457925012956e-02
1.200000000000000000e+02,7.082977664010862100e+03,7.178761703595350809e+03,1.529237277591313435e-02,1.529237161721782104e-02,1.529073999954547181e-02
1.200000000000000000e+02,7.178761703595350809e+03,7.274545743179839519e+03,1.237410257492714723e-02,1.237410279068146962e-02,1.237175473250481418e-02
1.200000000000000000e+02,7.274545743179839519e+03,7.370329782764328229e+03,9.970489904186172897e-03,9.970488792128601868e-03,9.968902065554155825e-03
1.200000000000000000e+02,7.370329782764328229e+03,7.466113822348815120e+03,8.110755566098779706e-03,8.110752362896614387e-03,8.112031824545088907e-03
1.200000000000000000e+02,7.466113822348815120e+03,7.561897861933303830e+03,6.631632951481509185e-03,6.631633976858189450e-03,6.637140298494992319e-03
1.200000000000000000e+02,7.561897861933303830e+03,7.657681901517792539e+03,5.425506244660418739e-03,5.425506909367779941e-03,5.433815984346891149e-03
1.200000000000000000e+02,7.657681901517792539e+03,7.753465941102281249e+03,4.408484791798652526e-03,4.408487880805067767e-03,4.413749539539439833e-03
1.200000000000000000e+02,7.753465941102281249e+03,7.849249980686769959e+03,3.508571900354461818e-03,3.508583555664876539e-03,3.500813788229324881e-03
1.200000000000000000e+02,7.849249980686769959e+03,7.945034020271258669e+03,2.737351237128023227e-03,2.737361688033523605e-03,2.705673361559650294e-03
1.200000000000000000e+02,7.945034020271258669e+03,8.040818059855747379e+03,2.095627330055613996e-03,2.095633719365502020e-03,2.033541692234332610e-03
1.200000000000000000e+02,8.040818059855747379e+03,8.136602099440236088e+03,1.561018821946515362e-03,1.561026159947388530e-03,1.470551008284237508e-03
1.200000000000000000e+02,8.136602099440236088e+03,8.232386139024725708e+03,1.125603113927339544e-03,1.125608262726930219e-03,1.016538874782983021e-03
1.200000000000000000e+02,8.232386139024725708e+03,8.328170178609212599e+03,7.793610671417769550e-04,7.793680839238261229e-04,6.654708546216313129e-04
1.200000000000000000e+02,8.328170178609212599e+03,8.423954218193701308e+03,5.122310823109716598e-04,5.122428497559173167e-04,4.081106365776583644e-04
1.200000000000000000e+02,8.423954218193701308e+03,8.519738257778190018e+03,3.140966040028353597e-04,3.141162614254170934e-04,2.327421275418557951e-04
1.200000000000000000e+02,8.519738257778190018e+03,8.615522297362678728e+03,1.747904675900956021e-04,1.748111779319190670e-04,1.258898087616036002e-04
