case_id,benchmark,coverage,amplitude,repetition,days,validation_rmse,full_density_l1,below_0_8_forward,above_1_2_forward,above_1_8_forward,normalised_variance,known_below_0_8_forward,known_above_1_2_forward,known_above_1_8_forward,known_normalised_variance
mixture_sparse_a1_r23,mixture,sparse,0.1,23,30,0.5518736539329753,0.09393926142727249,0.007016914402917532,0.015171392410692423,1.025114518954011e-12,0.004432988698393814,0.007369611340624764,0.012441093072208736,2.7300738522736983e-08,0.004518576768047543
mixture_sparse_a1_r23,mixture,sparse,0.1,23,60,0.29408904960663834,0.05481168852221882,0.026636236544107083,0.02909490929896454,4.5626710547059954e-10,0.008991504765988312,0.024457677081192418,0.02895841477614615,2.6377807968926344e-05,0.009082911152477561
mixture_sparse_a1_r23,mixture,sparse,0.1,23,90,0.3780984593423667,0.04812758729405072,0.03922718496044911,0.041815029009518,0.0014365644450316302,0.01419461087888041,0.038783706826076556,0.0415837108951731,0.0002779813074339507,0.013693586207532478
mixture_sparse_a1_r23,mixture,sparse,0.1,23,120,0.4123089955463841,0.04456135198915491,0.05098151514883114,0.053057207673422604,0.002192137819855247,0.018939770495850494,0.051150675782629516,0.05318238613221769,0.0009272247952358108,0.018351192669116022
mixture_sparse_a1_r23,mixture,sparse,0.1,23,180,0.5533667362067614,0.040373622385505986,0.07411622177776095,0.07501650673399245,0.0043676156225891955,0.028201307082617255,0.07403713869332912,0.07508588197205285,0.0031938592034413188,0.027809601774899727
mixture_sparse_a1_r23,mixture,sparse,0.1,23,240,0.26846461091907164,0.030447922428300116,0.09615299381823114,0.09482388594555631,0.006424038627810857,0.036999179523308445,0.09598528689944674,0.09474501957624087,0.00604275442082521,0.03746302188589668
mixture_sparse_a1_r23,mixture,sparse,0.1,23,300,0.2539507370470926,0.037314113114798875,0.1169320293087814,0.11182037250274646,0.009879378106985559,0.046634986619030094,0.11683927305409603,0.1118526225060108,0.008940648254429933,0.04731646597038387
mixture_sparse_a1_r23,mixture,sparse,0.1,23,365,0.8801658189740682,0.03960585089943489,0.13787126355293478,0.1277348636121442,0.01510009585831065,0.05632506563856032,0.13788288951261907,0.1277329330250726,0.011885496979341553,0.05822272356993101
mixture_sparse_a1_r24,mixture,sparse,0.1,24,30,0.5843487680493257,0.09481093261815457,0.007037162523085506,0.015069289965274978,5.9678747098094145e-12,0.0044301961553177005,0.007369611340624764,0.012441093072208736,2.7300738522736983e-08,0.004518576768047543
mixture_sparse_a1_r24,mixture,sparse,0.1,24,60,0.27083724432328293,0.0548973736302049,0.026469047524827285,0.02904372180582429,2.205755700495199e-09,0.00899358893356994,0.024457677081192418,0.02895841477614615,2.6377807968926344e-05,0.009082911152477561
mixture_sparse_a1_r24,mixture,sparse,0.1,24,90,0.22370341084934295,0.042518286975348436,0.03943536884783676,0.041673445457503386,8.205338377011493e-05,0.013640566446679436,0.038783706826076556,0.0415837108951731,0.0002779813074339507,0.013693586207532478
mixture_sparse_a1_r24,mixture,sparse,0.1,24,120,0.261248159223098,0.03858694789165443,0.051455555184845604,0.05305826900811725,9.432916305508239e-05,0.018132697242520646,0.051150675782629516,0.05318238613221769,0.0009272247952358108,0.018351192669116022
mixture_sparse_a1_r24,mixture,sparse,0.1,24,180,0.5202651308158369,0.03851119937601948,0.07394785125879584,0.07524053363983174,0.004649624659412924,0.028048340295950824,0.07403713869332912,0.07508588197205285,0.0031938592034413188,0.027809601774899727
mixture_sparse_a1_r24,mixture,sparse,0.1,24,240,0.4052641924918983,0.03150432391350778,0.09581343408221779,0.09461367517414516,0.006782594383326389,0.03685684847389292,0.09598528689944674,0.09474501957624087,0.00604275442082521,0.03746302188589668
