horizon_days,left_edge,right_edge,probability_mass
3.000000000000000000e+01,1.179922008060211192e+04,1.189441548677257379e+04,1.263713422576407850e-17
3.000000000000000000e+01,1.189441548677257379e+04,1.198961089294303747e+04,0.000000000000000000e+00
3.000000000000000000e+01,1.198961089294303747e+04,1.208480629911350115e+04,1.724557648235039593e-17
3.000000000000000000e+01,1.208480629911350115e+04,1.218000170528396302e+04,0.000000000000000000e+00
3.000000000000000000e+01,1.218000170528396302e+04,1.227519711145442670e+04,0.000000000000000000e+00
3.000000000000000000e+01,1.227519711145442670e+04,1.237039251762488857e+04,0.000000000000000000e+00
3.000000000000000000e+01,1.237039251762488857e+04,1.246558792379535225e+04,0.000000000000000000e+00
3.000000000000000000e+01,1.246558792379535225e+04,1.256078332996581412e+04,3.587986877860514632e-17
3.000000000000000000e+01,1.256078332996581412e+04,1.265597873613627780e+04,6.109015631625829059e-18
3.000000000000000000e+01,1.265597873613627780e+04,1.275117414230674149e+04,3.189641196416922232e-17
3.000000000000000000e+01,1.275117414230674149e+04,1.284636954847720335e+04,0.000000000000000000e+00
3.000000000000000000e+01,1.284636954847720335e+04,1.294156495464766704e+04,9.757673634239594271e-18
3.000000000000000000e+01,1.294156495464766704e+04,1.303676036081812890e+04,1.425603123465693814e-18
3.000000000000000000e+01,1.303676036081812890e+04,1.313195576698859259e+04,0.000000000000000000e+00
3.000000000000000000e+01,1.313195576698859259e+04,1.322715117315905445e+04,0.000000000000000000e+00
6.000000000000000000e+01,1.807412480966972453e+03,1.902803695240229445e+03,1.032044767528725825e-04
6.000000000000000000e+01,1.902803695240229445e+03,1.998194909513486209e+03,7.324236663242625616e-05
6.000000000000000000e+01,1.998194909513486209e+03,2.093586123786742974e+03,4.543215648971722279e-05
6.000000000000000000e+01,2.093586123786742974e+03,2.188977338059999965e+03,2.263042851428912462e-05
6.000000000000000000e+01,2.188977338059999965e+03,2.284368552333256957e+03,7.249410101450084196e-06
6.000000000000000000e+01,2.284368552333256957e+03,2.379759766606513949e+03,2.715872559686802793e-07
6.000000000000000000e+01,2.379759766606513949e+03,2.475150980879770941e+03,0.000000000000000000e+00
6.000000000000000000e+01,2.475150980879770941e+03,2.570542195153027933e+03,0.000000000000000000e+00
6.000000000000000000e+01,2.570542195153027933e+03,2.665933409426284470e+03,0.000000000000000000e+00
