benchmark,setting,horizon_days,left_edge,right_edge,mass
lognormal,baseline,90,10031.648722075166,10127.236147210284,1.4307582750795529e-11
lognormal,baseline,90,10127.236147210284,10222.823572345404,1.1614105499807634e-11
lognormal,baseline,90,10222.823572345404,10318.410997480523,9.849432518786193e-12
lognormal,baseline,90,10318.410997480523,10413.998422615643,8.43603867914279e-12
lognormal,baseline,90,10413.998422615643,10509.585847750763,7.316589629423405e-12
lognormal,baseline,90,10509.585847750763,10605.17327288588,6.512363748327651e-12
lognormal,baseline,90,10605.17327288588,10700.760698021,5.933339018609473e-12
lognormal,baseline,90,10700.760698021,10796.34812315612,5.486268860109531e-12
lognormal,baseline,90,10796.34812315612,10891.93554829124,5.117935205571424e-12
lognormal,baseline,90,10891.93554829124,10987.52297342636,4.802192617255474e-12
lognormal,baseline,90,10987.52297342636,11083.110398561479,4.526070963016091e-12
lognormal,baseline,90,11083.110398561479,11178.697823696597,4.2828357456596265e-12
lognormal,baseline,90,11178.697823696597,11274.285248831717,4.068646460665789e-12
lognormal,baseline,90,11274.285248831717,11369.872673966836,3.8810199189452685e-12
lognormal,baseline,90,11369.872673966836,11465.460099101956,3.718393303370465e-12
lognormal,baseline,90,11465.460099101956,11561.047524237076,3.5801225063378176e-12
lognormal,baseline,90,11561.047524237076,11656.634949372195,3.4608181709033516e-12
lognormal,baseline,90,11656.634949372195,11752.222374507313,3.35509771500436e-12
lognormal,baseline,90,11752.222374507313,11847.809799642433,3.2622519908440332e-12
lognormal,baseline,90,11847.809799642433,11943.397224777553,3.1818013645797603e-12
lognormal,baseline,90,11943.397224777553,12038.984649912672,3.113496001223435e-12
lognormal,baseline,90,12038.984649912672,12134.572075047792,3.0573655065786104e-12
lognormal,baseline,90,12134.572075047792,12230.15950018291,3.0137938257293108e-12
lognormal,baseline,90,12230.15950018291,12325.746925318032,2.9836450667341228e-12
lognormal,baseline,90,12325.746925318032,12421.33435045315,2.9684667317305416e-12
lognormal,baseline,90,12421.33435045315,12516.92177558827,2.9708304925469174e-12
lognormal,baseline,90,12516.92177558827,12612.509200723389,2.994939778808385e-12
lognormal,baseline,90,12612.509200723389,12708.096625858507,3.047790689183017e-12
lognormal,baseline,90,12708.096625858507,12803.684050993628,3.14158703979885e-12
lognormal,baseline,90,12803.684050993628,12899.271476128746,3.299367725186021e-12
lognormal,baseline,90,12899.271476128746,12994.858901263868,3.5703782833927504e-12
lognormal,baseline,90,12994.858901263868,13090.446326398986,4.083692217171789e-12
lognormal,baseline,90,13090.446326398986,13186.033751534105,5.3566245097949886e-12
lognormal,baseline,90,13186.033751534105,13281.621176669225,1.6433112096904886e-11
lognormal,baseline,120,1814.8554868639928,1910.6395264484813,9.627562679457561e-12
lognormal,baseline,120,1910.6395264484813,2006.42356603297,2.493831644452683e-12
lognormal,baseline,120,2006.42356603297,2102.2076056174583,1.99589206664754e-12
lognormal,baseline,120,2102.2076056174583,2197.991645201947,1.8499923081281033e-12
lognormal,baseline,120,2197.991645201947,2293.7756847864352,1.833281959184531e-12
